"origin"	"dest"	"count"
2981754	361058	1
3165185	3165185	3
2986761	2986761	1
2986761	361058	1
2976691	2976691	1
2976691	361058	1
2980045	359796	1
3012655	358619	1
3014728	2995469	1
2995469	350203	1
2977638	361058	3
3005866	358619	1
3029241	359796	1
2996180	359796	1
2472350	361058	7
2995469	360946	1
360946	361058	4
3017382	360630	14
2992852	361058	1
2975349	360630	2
3028134	3036938	1
350173	358619	1
3013586	2988507	1
358619	351481	1
3013872	360630	1
3021626	359796	1
2562305	359796	1
3019430	2998797	1
2998797	359796	1
3031290	361058	1
3027505	359796	1
3018455	358619	1
3030985	2996944	1
2971053	360630	4
2971053	361058	9
3005705	2988507	1
3016097	3016097	1
3016097	361058	1
3033074	360630	1
3020152	360630	1
2998324	2998324	1
2998324	361058	6
3016730	3016730	1
3016730	361058	1
3035681	359796	3
2971401	360630	1
2992166	360630	3
2992166	2992166	2
2991214	360630	7
3035568	361055	1
3017671	361058	1
2972328	358619	10
3033123	361058	7
3031549	361058	1
2995469	3007680	1
3007680	2995469	1
3022977	359796	1
3176219	361058	1
2658434	361058	4
3030300	2995469	1
3025466	361058	5
3033913	361058	2
2523920	361058	3
3001182	3001182	1
3001182	359796	1
2988744	361055	1
2981209	2981209	9
2981209	360630	4
6620225	358619	4
2987914	361058	4
3005825	3005825	2
3005825	360630	2
2971482	2995469	1
2490098	361058	1
2996944	349076	1
349076	360630	1
3028431	3028431	10
252853	361058	6
305359	361058	1
311046	360630	9
3022152	358619	1
3022152	3022152	2
3022152	359796	1
3007881	360686	1
3014803	361058	2
2988507	2972328	2
2485926	358619	2
2967758	361055	2
361055	359796	9
3023424	360630	1
2991969	3036938	1
3036938	358619	2
2976964	2976964	1
2976964	360630	2
3003493	361058	4
3016358	361058	2
2988507	2995469	3
2975924	361058	1
3036418	360630	3
3009196	3009196	1
3009196	361055	1
2979694	358619	1
3024440	3024440	3
3024440	361058	1
2994798	360630	2
3010720	3010720	1
3010720	3038354	1
3038354	2995469	5
3010720	360630	1
3010720	361055	1
2969291	358619	1
3024932	361058	1
2985376	359796	1
3026074	361058	1
2986650	361058	1
3022152	361058	1
3026204	3025412	1
3025412	359796	1
2979648	358619	1
3030300	358619	8
3023414	359796	4
3009819	361058	2
3018323	361058	3
2660076	360630	1
2969532	361058	1
3009056	360630	1
357994	361058	3
3014192	3014192	1
3014192	359796	1
3033132	3033132	1
3033132	360630	1
3035134	3035134	1
3035134	361058	1
2995469	2501152	1
2501152	359796	3
2991772	2991772	1
2991772	361058	2
2969160	360630	1
3036335	358619	1
772636	361055	1
2974188	360630	2
2989877	359796	1
361058	360821	1
3003127	360630	1
2992303	359796	1
2978333	359796	1
2998286	361058	4
3024314	361055	2
3024635	361058	5
3010267	360630	1
2989715	358619	1
2998811	361058	2
2974809	361058	1
2979475	360630	1
2970978	360630	1
2978760	361058	2
2978760	2978760	2
2996180	360630	1
3028431	360630	1
2976792	3037287	1
2997511	361058	2
2475687	2475687	7
2487620	360630	1
170654	360630	1
2990205	358619	1
2986109	360630	9
3035062	3035062	1
3035062	359796	1
2968079	361058	1
3003603	361058	2
2980002	360630	1
2982169	361058	3
2968261	361058	1
2986756	2986756	1
2986756	361058	1
2999619	358619	1
3002237	361058	1
3037051	361058	1
3022856	361058	2
3009879	359796	2
3017569	3017569	1
3017569	2996032	1
2996032	2988507	1
2981742	2981742	1
2981742	361058	1
2981382	2994935	1
2994935	359796	2
3008916	3008916	1
3008916	359796	1
2974689	359796	1
2968104	361058	1
2976742	2976742	2
2976663	361058	1
3006770	359796	2
3026158	3026158	1
3026158	358619	1
3020307	360630	1
2983165	361058	1
2984361	2984361	1
2984361	361058	1
2975050	358619	2
3173435	360630	1
3028641	361058	8
3022977	358619	1
2986624	361058	1
3033099	361058	1
2984489	2988507	1
2995725	2995725	1
2995725	360630	1
2990140	361055	1
2987863	2987863	2
2987863	361058	1
3024797	3024797	1
3024797	361058	1
2997332	360630	1
3570529	361058	2
3018238	3018238	3
3018238	361058	3
3023410	3023410	1
3023410	360630	2
261745	361058	3
933965	361058	1
3020996	3030300	1
3024273	2980676	1
2980676	361058	3
2658822	360630	1
756135	2988507	1
3037396	3037396	1
3037396	361058	1
3028976	3035681	1
2983276	361058	1
2659994	358619	1
3024597	2995469	1
2968153	2968153	1
2968153	359796	1
2990611	2988507	1
2790869	360630	1
2481700	359796	2
2995699	2995699	1
2995699	359796	1
2976472	361058	1
2996234	359796	1
2980291	358619	2
2992703	361058	4
3021382	361058	2
3016348	361058	1
2986946	361058	1
3016274	3016274	3
3016274	361058	1
252920	361058	1
252919	358619	1
2997143	360630	1
2998324	360630	4
2994935	361058	2
3031020	361058	3
3036338	361058	1
3007950	360630	1
2975593	358619	1
2997457	359796	1
2982652	361058	6
2982652	359796	3
3037821	361058	1
2972743	360630	1
2994106	360630	2
2507480	2995469	2
6529336	361058	5
6529336	6529336	1
3010974	361058	1
3165185	361058	5
2995469	361937	1
361937	361937	1
2977542	361058	1
2968180	359796	1
2973355	359796	1
3019465	361058	1
2990969	361058	5
3024691	359796	1
3033391	361058	1
2972015	361058	2
2968272	359796	1
2996995	3030939	1
3030939	361058	1
2993875	361058	3
2643743	359796	1
2960429	360630	1
2993026	360630	1
3009494	361058	1
3012715	360630	1
3038354	359796	2
2977214	2977214	2
2977214	359796	2
2986066	361058	2
3178197	358619	1
3012647	2503826	1
2503826	350767	1
2973783	361058	5
3026062	361058	2
3026039	360630	1
2995469	358840	1
2994048	361055	1
2996944	361055	13
2974640	361055	1
2998545	361058	3
6299587	360630	1
6299587	358619	1
2524170	360630	1
379252	360630	5
2979303	379252	1
2978991	2978991	1
2978991	359796	1
2986227	361058	1
3013663	359796	1
3018450	360630	2
2971774	359796	1
2971774	361058	1
3038350	361058	1
3006056	361058	3
3027470	3027470	1
3027470	359796	1
2978267	361058	1
2992938	2992938	1
2992938	359796	1
3031284	360630	6
2984374	360630	1
3020781	3031284	1
3011630	3011630	1
3011630	359796	1
6617426	361058	1
358448	361058	4
3010222	361058	1
3018174	360630	2
2994160	362277	1
2994160	360630	4
2974899	361058	1
3010653	3004438	1
3004438	361058	1
2989317	361058	1
2988305	360630	1
3027565	359796	1
3020323	360630	1
2978097	2978097	1
2978097	359796	1
3175395	361058	11
3165524	360630	1
3164614	2972328	1
2976341	360761	1
360761	361058	2
3026401	361058	1
2968064	361058	1
361058	358048	1
2993693	361058	1
2998718	2998718	1
2998718	361055	1
2972350	358619	1
2989263	734077	1
734077	361058	2
3036433	358619	1
2979679	361058	5
3024631	361058	1
3016824	361058	1
2976707	2976707	1
2976707	361058	1
2996944	2140433	1
2977144	360610	1
3023547	2995469	1
3023547	361058	1
3028400	3028400	1
3028400	361058	1
3117735	1701668	1
1701668	359796	2
3175395	360630	8
3037943	3037943	1
3037943	2993875	1
2993875	360630	3
360630	359796	6
2980620	361058	1
3037879	359796	1
2979237	2980886	1
2980886	360630	1
2979237	359796	1
3029516	361058	1
3023517	360630	1
3038334	359796	6
3034640	360630	5
3012652	361058	1
3011010	3011010	1
3011010	361058	1
2994871	361058	1
3027804	3027804	1
3027804	360630	2
3038634	361058	1
2997340	3004418	1
3004418	359796	1
2973385	361058	1
2978758	361055	1
3035359	3035359	1
3035359	359796	1
2976341	361937	1
3020996	359796	4
2562770	2562770	3
2562770	361058	4
3007100	3007100	1
3007100	360630	1
2970962	361058	1
2969421	2969421	1
2969421	361058	1
2653261	359796	1
2986664	2986664	1
2986664	361058	1
2661202	360630	1
2967769	361058	1
2759794	359796	1
3030102	3030102	2
3030102	359796	2
2995471	361058	1
3033625	361058	1
2985000	359796	1
2991429	2991429	1
2991429	360630	1
2995971	2988507	1
2990969	360630	2
349484	361058	1
2988507	3030300	1
3003796	2984114	2
2984114	2984114	3
2984114	3003796	1
2984114	360630	1
3007858	359796	1
2972206	361058	1
2976377	361055	1
2993647	359796	2
2968054	361058	2
2967758	359796	2
2978566	360630	2
3037167	358619	3
2975798	361055	1
2980430	359796	2
3174530	358619	1
3026827	359796	1
2979579	360630	1
2989569	3036633	1
3036633	360630	1
2974821	2974821	1
2974821	360630	1
2995276	361058	1
2978072	361058	2
2990970	361058	1
4335045	361058	1
6616387	358619	1
3034475	361055	2
2997498	361058	1
6620213	361058	1
2989037	2989037	2
2989037	360630	2
3015305	359796	1
2981925	361058	1
3178794	361058	1
3028092	361058	2
2485926	2589581	2
3169070	360630	2
3024111	361058	4
2989106	359796	1
2987441	360630	5
3033443	3033443	1
3033443	359796	1
2992603	2992602	1
2992602	359796	1
6440705	361058	1
3035843	358619	1
2969401	358619	1
2993749	359796	1
3176959	361058	2
3005417	360630	11
3005417	3005417	6
3027422	360630	3
3176854	360630	1
3029374	3029374	1
3029374	358619	1
2975340	2975340	1
2975340	361058	1
2967189	359796	2
6616400	361370	1
361370	360821	1
3005417	2988507	1
3001617	3036611	1
3036611	361058	1
2969284	361058	5
3165185	2464470	1
2464470	361058	2
2971055	361058	1
2990363	2995469	2
3037598	3037598	1
3037598	359796	1
2970151	361058	1
2980161	2980153	1
2980153	359796	1
2987825	359796	1
2978640	2978640	1
2978640	361058	1
2986109	2995469	1
3029354	2988507	1
3006787	2983276	1
2983276	359796	3
2976826	361058	1
2967920	361058	2
2981206	2981206	1
2981206	360630	1
2986302	361058	2
2978918	361058	1
2981280	361058	2
2974197	361058	1
3023653	2995469	1
3037514	359796	1
3036418	359796	4
2990935	360630	1
2983942	361058	1
2967758	358619	2
2993512	358619	1
3006613	3006613	1
3006613	361058	1
2990873	360630	1
3038350	360630	1
3026588	2973008	1
2973008	361058	1
3026588	3026588	1
3026588	361058	3
2660646	361058	2
360610	358619	2
360610	360610	1
2981209	361058	1
3030989	3024635	1
3030989	361058	1
2994617	360630	3
3010014	3010014	1
3010014	360630	1
2974640	2507480	1
2974640	360630	2
3022623	360630	1
3030534	361058	1
683123	358619	1
3005417	358619	1
3018749	359796	1
2983990	360630	2
3020940	361058	1
2987259	361058	1
3034640	3174659	1
3174659	361058	4
2971041	2995469	1
3019055	361058	1
2974704	361058	1
3005825	361058	2
2995481	2986271	1
2986271	359796	1
3029306	3029306	4
3029306	359796	2
3003325	360630	1
2969160	361058	1
3020781	361058	1
3010154	360630	1
3009526	2995469	1
2983011	358619	2
276781	358619	1
3010201	360630	1
2998517	361058	1
3008856	359796	1
2972401	2972401	1
2972401	361058	1
2992624	361058	2
2972401	360630	1
2507480	357994	1
357994	359173	1
359173	351481	1
2972328	2507480	1
360630	360686	2
3001988	3001988	1
3001988	360630	1
3001988	2501152	1
3012319	2995469	1
2983223	361058	1
2970287	361058	2
2970287	2970287	2
2994943	360630	1
3012716	361058	1
3035418	361058	1
3037656	2988507	1
3020996	3020996	2
2993194	2993194	1
2993194	361058	1
3037713	361058	1
3023924	3023924	1
3023924	361058	2
2985076	359796	1
2994464	361055	1
2987408	2988507	1
3008008	2988507	1
2968548	1566083	1
3024532	359796	1
2968059	360630	2
2968059	361058	1
2972328	1566083	2
2983971	3034640	1
2986561	360630	2
3030979	358619	1
3006787	360630	2
2506999	361055	2
3176746	360630	1
3027422	361058	5
2988507	360946	1
2975588	2988507	2
2988507	2975588	1
3030455	358619	1
3021853	3034608	1
3034608	359796	1
2969679	361058	3
2974257	361058	1
3020964	361058	1
2990440	2990440	2
2979660	361058	1
3034274	358619	2
2974263	361058	1
2995469	360886	2
3036784	359796	2
6426532	360630	1
3025790	3033123	1
3030814	361058	1
2983990	361058	5
2974591	358619	1
3029974	2973108	1
2973108	361058	3
2973108	2973108	1
361058	357994	1
357994	359796	1
2988335	2988335	1
2988335	359796	1
3005326	361058	5
3005326	360630	1
3002988	361058	2
3021061	3021061	1
3021061	360630	1
3026380	361055	1
3169070	361058	1
3026380	361058	1
3026380	360630	1
3014728	3014728	5
2986109	359796	1
3018302	361058	1
2982745	361058	1
3023872	361058	1
3038050	361058	1
3011563	3014213	1
3014213	359796	1
2983208	3024800	1
3024800	359796	1
3037113	3037113	1
3037113	361058	1
2970752	359796	1
2988507	361320	2
2971965	2998846	1
2998846	361058	1
2983011	361058	3
2589581	2475687	1
2986732	361058	5
2982652	3013173	1
3013173	360630	1
2993465	2475687	1
2475687	359796	2
2973783	360630	6
2974629	3007842	1
3007842	359796	1
3042142	360630	1
3042142	2988507	1
2971036	359796	1
3008141	361058	1
3037136	361058	1
2992943	358619	1
2977189	359796	1
2983990	2983990	2
2986665	361058	1
3014393	360630	1
2979109	361058	1
3013742	358619	1
3034471	360630	1
3034640	361055	2
2660646	360630	2
2992703	359796	2
2975469	358048	1
358048	358619	7
2995607	2995607	1
2997581	361058	1
2985655	2972328	1
3037818	3037818	1
3037818	359796	2
2974160	361058	1
2985984	359796	1
2987914	361055	4
3005755	360630	1
2977653	360630	1
2977948	361058	1
2981865	360630	1
3038224	360630	2
2992363	358619	1
2984065	361058	1
2984065	360630	2
3020686	361058	4
3020686	3020686	2
2996435	2507480	1
2968144	361058	1
3026375	361055	1
3020251	361058	18
2995481	2995481	1
2995481	359796	1
3038604	3024643	1
3024643	360630	1
6299405	2980256	1
2980256	359796	1
